,0
62,"▶ 『투자의 본질』 소개 동영상

*window7의 경우 사운드 연결이 없을시, 동영상 재생에 오류가 발생할 수 있습니다.
이어폰, 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다."
63,
64,"『투자의 본질』

추천사
서문 현명한 투자자 행복한 투자자

PART 1 코로나19 위기와 대응전략 수립
1장 코로나19 팬데믹과 주식시장 폭락
2장 코로나19 폭락장에 대한 진단
3장 코로나19 시기의 투자 전략
4장 코로나19 위기는 경제주권 회복의 기회
5장 동학개미를 붉은개미로 부르자

PART 2 주식투자의 본질
1장 주식투자를 반드시 해야 하는 이유
2장 주식투자란 무엇인가 - 투자의 본질
3장 개는 훌륭하다 - 주식시장의 변동성
4장 극치 이론 - 임계점과 변곡점

PART 3 주식시장 분석
1장 바람 불 때 연 날리고, 물 들어올 때 배 띄워라 - 시장 분석의 중요성
2장 주식투자는 미인대회 - 시장 주도주에 대한 분석
3장 효율적 시장 가설 - 주식시장을 이기는 방법

PART 4 포트폴리오 구성
1장 지피지기 백전불태 - 시장을 이기는 포트폴리오 구성전략
2장 뛰는 말에 올라타라 - 주도주 발굴과 매매기법
3장 실수(實數)와 허수(虛數) - 성장주 투자의 함정
4장 성장주 투자의 핵심 - PEG
5장 장기투자와 단기투자 - 투자의 기준

PART 5 투자자의 마음가짐
1장 슬럼프를 극복하는 세 가지 원칙
2장 실패가 주는 선물
3장 투자는 예술이다
4장 투자자의 자화상
5장 어떤 투자자가 될 것인가
6장 위대한 기업의 조건
7장 허드슨 강의 기적

특별부록 박세익의 월간 운용전략 보고서
월간 시장전망 및 운용전략 (2020년 6월 ~ 2021년 5월)"
65,"펀드매니저의 시각으로 봤을 때 다음과 같은 기업에 투자하는 것을 추천한다. 첫째, 현금이 풍부하고 달러를 벌 수 있는 수출 대기업이다. 단, 일등 그룹을 사야 한다. 둘째, 2008년의 아마존, 애플과 같은 혁신기업이다. 셋째, 아마존에서 장사를 잘하고 있는 기업이다. 아마존에서 침대, 핸드폰 케이스, 에어팟을 팔고 있는 국내 중소기업은
관심을 가져볼 만하다. 넷째, G7 국가의 정책 수혜주다. 2008년 금융위기 당시 중국정부의 4조 위안 투입을 비롯해 유럽과 미국정부의 강력한 유동성 공급정책으로 인해 2009년에서 2011년까지... 더보기"
66,"현명한 투자자는 시장을 이기는 ‘종목’이 아니라
시장을 이기는 ‘투자의 본질’을 공부한다!

주식시장에서는 매일 천문학적인 돈이 거래되는 ‘쩐의 전쟁’이 벌어지고 있고, 많은 투자자들이 돈을 벌거나 잃는다. 그런 주식시장에 어설픈 지식을 갖고 뛰어들면 99%는 돈을 잃게 된다. 사실 아마추어 투자자뿐만 아니라, 제도권의 펀드매니저들조차 ‘주식의 본질’을 잘 모르거나 잘못 이해하고 있는 사람들이 많다. ‘주식의 본질’이란 기업가치 변화에 대한 정확한 판단과 과감한 투자로 기회가 왔을 때 대량 득점하고, 또 변동성이라는 시장의 역습에... 더보기"
67,"‘흔한남매’는 유튜브 구독자 수가 218만 명, 누적 조회 수가 19억 회를 넘어서는 인기 크리에이터로, 흔한컴퍼니에 소속되어 있습니다. 상황극?콩트 등을 통해 어린이들에게 큰 사랑을 받고 있으며, 주로 남매 사이에서 일어날 수 있는 현실적인 에피소드를 코믹하게 그려 내어 웃음과 공감을 이끌어 내고 있습니다. 흔한남매의 일상 탐구, 으뜸이 방에서 펼쳐진 무서운 이야기, 엄지와의 첫 만남, 흔한 동네의 흔한 귀신, 한여름 밤의 공포 영화, 집에서 노는 꿀팁, 서프라이즈 생일 파티 등 오싹하고 웃음 가득한 일상 속으로 떠나 볼까요?

《흔한남매 8》은 ‘흔한남매’ 유튜브 영상의 스토리를 앙증맞고 유머러스한 만화로 풀어 낸 코믹북입니다. 하루도 조용할 날이 없는 으뜸이와 에이미의 일상 스토리는 진짜 웃음이 필요한 어린이들에게 순수한 웃음과 유쾌한 우애를 선사할 것입니다."
68,
69,"01화 흔한남매의 일상 탐구
02화 으뜸이 방에서 펼쳐진 무서운 이야기
알쏭달쏭 다른 그림 찾기

03화 식인종에게 잡힌 으뜸이
04화 새로운 가족이 생기다!
와글와글 진짜 엄지 찾기

05화 흔한 동네의 흔한 귀신
06화 따이, 따이! 흔한 장기 자랑
완전 최고! 나만의 장기 자랑

07화 여름이라서 좋을 때
08화 한여름 밤의 공포 영화
꼭꼭 숨어라! 숨은그림찾기

09화 엄지 집 만들기 대결
10화 집에서 노는 기발한 꿀팁
요리 금손 으뜸이의 시크릿 레시피

11화 웃소 친구들과 좀비 게임을?
12화 서프라이즈 생일 파티
우당탕탕 홈 비디오
흔한남매 표지 전시회"
70,"웃음 폭탄 '에피소드'와 깨알 재미 '놀이'의 조합!
어린이의 웃음 코드에 맞춰 엄선한 에피소드를 앙증맞고 유머러스한 만화로 풀어 냈습니다. 웃음을 유발하는 에이미와 으뜸이의 티격태격 일상은 물론이고, 남매에게 생긴 새로운 가족, 흔한 동네의 흔한 귀신, 여름이라서 좋을 때, 엄지 집 만들기 대결 등 골라 읽는 재미가 가득한 에피소드 만화가 수록되어 있습니다. 또한 에피소드 만화 중간중간에는 유튜브에서는 만날 수 없었던 ‘알쏭달쏭 다른 그림 찾기’, ‘와글와글 진짜 엄지 찾기’, ‘요리 금손 으뜸이의 시크릿 레시피’ 등 깨알 재미... 더보기"
71,"코로나바이러스감염증-19(이하 코로나19)로 인류는 서로 접촉하지 않는, 이른바 ‘언택트 시대’로 접어들었다. 불과 2년 전까지만 해도 선택의 영역이었던 인공지능과 IT 기술이 코로나19를 기점으로 일상 전반을 지배하게 된 것이다. 2020년 8월, 미국을 대표하는 30개 기업의 주가지수를 보여주는 다우지수가 석유기업 엑슨모빌을 92년 만에 퇴출하고, 그 자리에 클라우드 기업 세일즈포스를 올린 것은 석유 경제로 대표되던 3차 산업혁명 시대가 저물고 4차 산업혁명의 시대가 도래했음을 알린 상징적 사건이었다.
종합 베스트셀러 1위를 휩쓴 《에이트》와 《에이트 : 씽크》의 작가 이지성이 ‘에이트 시리즈’의 완결편이자 실천편인 《미래의 부》로 돌아왔다. 유튜브 채널 ‘이지성TV’를 통해 5천만 뷰 이상의 폭발적인 관심을 받은 ‘4차 산업혁명 미국 주식 특강’을 토대로 완성된 이 책은, 코로나19로 이미 우리 삶 깊숙이 들어온 인공지능 시대에 재편될 부의 흐름을 읽고 ‘미래의 부’를 창출할 새로운 방법을 제시한다.
작가는 부동산 가격 폭등, 고령화, 경제난 등 우리 국민이 맞닥뜨리게 될 암울한 미래의 해답을 미국 우량주식 장기투자에서 찾았다. 여기서 말하는 미국 우량주식 장기투자는 단기간에 높은 수익을 얻고자 하는 최근의 주식투자 열풍과는 그 결이 다르다. 이 책은 비메모리 반도체, 자율주행, 데이터센터, 클라우드 서비스, 헬스케어 산업 등 4차 산업혁명의 모든 열쇠를 쥐고 있는 미국과 미국의 주식시장, 그중에서도 우량주식 장기투자에 관한 가장 친절하고 직관적인 안내서다. 작가는 앞으로 100년 이상 이어질 인공지능 시대에 세계 경제를 주도할 국가와 기업들의 비전을 읽어내고, 그 가치에 장기적인 투자를 하기 위해서는 많은 공부와 인내심, 그리고 강력한 믿음이 필요하다고 역설한다.
이 책은 크게 3부로 나뉜다. 1부에서는 대한민국이 마주하게 될 암울한 미래를 냉철하게 조망하고 그 해법을 제시한다. 2부에서는 투자의 귀재 워런 버핏의 철학을 통해 어떤 파도에도 흔들리지 않고 자신의 투자 원칙과 신념을 지키는 법을 배운다. 마지막 3부에서는 어떤 방법으로 어떤 곳에 투자를 시작하면 좋을지를 10가지 관점에서 짚어본다. 특히 3부에서 펼쳐지는 ‘미래의 부’에 관한 10가지 정보는 앞으로 우리 삶의 존엄성을 지키기 위해 지금 당장 시작해야 할 최소한의 경제 지식이자 행동 강령이다.
이 책을 읽고 나면 당장 해외주식 앱을 찾아 다운로드 중인 자신을 발견하게 될 것이다. 사려던 운동화 대신 나이키 주식을, 바꾸려던 핸드폰 대신 애플 주식을 매수하며 새로운 부의 흐름에 올라탈 대비를 시작할 것이다. 결코 쉬운 길은 아니지만 의지만 있다면 당장 시작할 수 있다. 이 책에는 그런 힘이 있다."
72,
73,"프롤로그_나는, 당신은, 우리는 무엇을 준비해야 하는가


PART 1_새로운 부가 오고 있다
: 인공지능 시대, 돈은 어디로 흐르는가

겪어본 적도 없고, 떠올려본 적도 없는 미래
-새로운 시대의 리더는 누가 될 것인가
-기존 부의 공식은 완전히 깨졌다

대한민국의 미래에 관한 불편한 진실들
-빈곤층, 도시의 주류가 되다
-늙어가는 것이 곧 죄가 되는 나라
-대한민국 역사상 가장 비참한 세대, 그들이 오고 있다
-일본이 먼저 경험한 ‘노인 지옥’

지금 당신의 노후가 무너지고 있다
-가난은 절대 사람을 행복하게 두지 않는다
-국민연금이 투자의 귀재가 된 이유
-그런데 왜 망해가는가
-연금은 결코 우리의 노후를 보장해주지 않는다
-사적 연금의 ‘마법의 사기’

새로운 부의 흐름에 올라타라
-세계 최고 은퇴 재무설계 전문가의 경고
-13억, 은퇴 후 필요한 최소 비용
-바로 지금, 시작하라


PART 2_30년을 버틸 각오가 돼 있는가
: 버핏에게 배우는 우량주식 장기투자법

‘장기’와 ‘복리’가 만날 때 벌어지는 일
-미국 주식시장의 불문율과 같은 성공법칙
-미쳐 날뛰는 시장에서 유일하게 미치지 않은 사람
-핵심은 인플레이션 효과다
-우량주식 장기복리 투자의 기적

폭락을 견뎌낼 믿음 혹은 용기
-한 번의 투자를 위해 그가 공부한 시간, 50년
-모두가 버릴 때야말로 사랑할 때

부자는 결코 조급하지 않다
-핵심은 원칙과 철학이다
-애플 주식은 지금이 가장 쌀지도 모른다


PART 3_이제, 어디에 투자할 것인가
: ‘미래의 부’를 창출하는 10가지 방법

미래의 부 01_‘투기’가 아닌 ‘투자’를 하라
-사랑한 만큼 돌려받는다
-1억이 804억이 되는 데 걸린 시간
-돈이 돈을 낳는 마법
-우리는 미래의 1등 기업을 찾을 수 없다

미래의 부 02_‘인공지능의 두뇌’ 비메모리 반도체를 주목하라
-노동자 반도체 vs 천재 반도체
-삼성전자는 세계 넘버원이 아니다
-반도체 시장의 절대강자는 누구인가
-4차 산업혁명 패권을 위한 미국과 중국의 힘겨루기
-ASML이라는 외계 기업

미래의 부 03_버핏은 왜 그토록 애플을 사랑하는가
-잡스의 ‘현실 왜곡장’과 ‘R=VD’
-시가총액 2조 달러, 이것은 시작에 불과하다
-애플은 제조 기업이 아니다
-‘40조 현금 부자’ 애플이 대출을 받은 이유
-강점보다 약점 분석이 중요하다

미래의 부 04_데이터 경제는 ‘4차 산업혁명 시대의 석유’다
-지금 당신의 모든 정보가 팔려나가고 있다
-데이터는 정확히 석유의 길을 걸을 것이다
-배달의민족이 5조에 팔린 이유
-1,400만 명 vs 33만 명, 게임이 될까?

미래의 부 05_이제 세상 모든 정보와 돈은 클라우드로 모인다
-초능력을 가진 양자컴퓨터
-1초에 데이터 1억 개씩을 분석하는 괴물이 사는 곳
-SaaS의 절대강자, 세일즈포스
-세일즈포스 vs 마이크로소프트, 승자는 누가 될 것인가
-아마존은 어떻게 클라우드 기업이 되었나
-지금 세계는 클라우드 전쟁 중이다
-단기폭락과 대폭락의 반복을 이겨내는 힘
-클라우드는 이제 막 시작됐을 뿐이다

미래의 부 06_완전히 새로운 부동산이 온다, 데이터센터
-‘반도체의 절대강자’ 인텔의 위기
-엔비디아라는 새로운 태양이 뜨고 있다
-뜨거운 감자, 암
-IT 리츠라는 미래형 부동산
-춘추전국시대를 끝낼 승자는 누구인가

미래의 부 07_5G를 넘어 6G로, 세계 패권 전쟁
-버라이즌 vs AT&T
-화웨이의 몰락과 노키아의 기사회생
-6G 패권을 둘러싼 전쟁이 시작됐다

미래의 부 08_핵심은 ‘전기’가 아니라 ‘자율주행’이다
-자율주행은 신기술이 아니다
-그런데 왜 전기차에 열광하는 걸까?
-라이다, 과연 우량 종목일까
-전기차 배터리, 신중이 답이다
-테슬라와 반테슬라 진영의 치열한 전쟁
-테슬라가 극복해야 할 리스크들
-자율주행차 시장의 판도를 바꿀 애플카
-천지개벽할 자율주행의 시대

미래의 부 09_OTT, 우리의 일상을 지배하다
-넷플릭스는 1위 자리를 지킬 수 있을 것인가
-‘기승전 구글’인 이유

미래의 부 10_고령화 시대, 답은 헬스케어다
-무려 30년간 신용 등급 트리플A를 유지한 기업
-의료 산업의 미래, 디지털 헬스케어
-애플, 아마존, 구글은 계획이 있다
-원격의료 시장의 문이 열리는 순간

에필로그_왜 지금 투자를 시작해야 하는가
주"
74,"지금 우리 앞에 새로운 시대가 놓여 있다. 바로 코로나19 이후의 시대다. 최근 시작된 새로운 문화가 정착되면 우리나라에는 새로운 경제 흐름이 생길 것이다. 사실 이미 미국에서 나타나고 있는 현상이다. 지금 세계 경제는 구글, 아마존, 마이크로소프트 등으로 대표되는 미국 빅테크 기업을 중심으로 그 흐름이 바뀌고 있다. 단적인 예로 애플의 시가총액이 우리나라 전체 주식시장을 합친 주가총액을 넘어섰다. 한 국가, 그것도 세계 10위권 경제대국인 대한민국의 전체 주식시장을 합친 주가총액보다 애플이라는 기업의 시가총액이 더 높은 것이다. ... 더보기"
75,"기존 부의 공식은 완전히 깨졌다
당신은 7년 후 닥쳐올 불황에 대비하고 있는가

이제 부의 개념은 완전히 달라졌다. 열심히 모은 돈을 은행에 저축해 이자를 받아 생활하던 시대는 진작에 끝났고, 천정부지로 치솟은 부동산 가격으로 건물주의 꿈도 물거품이 되었다. 기존에 알고 있던 ‘부의 공식’들이 모조리 깨져버린 상황에서 목돈을 만들 수 없는 젊은 세대가 앞뒤 가리지 않고 코인과 주식에 열광하는 것은 당연하다. 하지만 그 결과는 어떤가. 잠시 수익을 낸 사람은 있을지 몰라도 장기적인 안목으로 먼 미래를 바라보고 투자를 이어나가는 ... 더보기"
76,"메타버스란 무엇일까? 메타버스는 우리의 삶은 어떻게 변화시킬까? 메타버스 시대의 비즈니스는 어떤 형태를 띠고 있는가? 메타버스 시대를 대표하는 산업은 무엇일까? 어떤 기업이 메타버스 시대를 앞서나갈까? 그리고 우리는 어떤 메타버스 기업에 투자해야 할까?

디지털 지구를 처음 국내 대중에게 알린 메타버스의 선구자인 김상균은 『메타버스 새로운 기회』를 통해 메타버스란 무엇이고 앞으로 메타버스가 나아갈 방향을 설명하여 많은 사람들에게 새로운 지구에 사는 방법과 미래를 거머쥘 비책을 전달한다. 김상균은 메타버스를 우리의 삶과 사회를 새롭게 바라보게 만들어주는 렌즈에 비유하면서 그 렌즈를 통해 세상의 요동치는 변화 속에서 우리가 새로운 기회를 놓치지 않고 메타버스 시대를 이끌어 갈 수 있는 전략을 제시한다. 그는 “메타버스 시대에는 비즈니스 형태가 대변혁이 일어날 것이고 이는 기업들의 퀀텀점프의 기회가 될 것”이라고 말했다. 또한 “현재의 흐름이 과거 인터넷, 스마트폰이 만든 혁명보다 더 거센 정보화 대혁명이 될 것”이라며 어떤 비즈니스 분야든 메타버스를 장기적인 성장 과제로 잡고 대비해야 한다고 강조했다.

이제는 필수 투자 포트폴리오가 된 메타버스
거대한 변화에 흔들리지 않을 메타버스 투자 전략을 세워야 한다!

좀 더 명쾌한 투자 분석을 위해 또 한 명의 스페셜리스트 투자전문가 벵골호랑이(신병호)가 나섰다. 수많은 투자자들은 성공의 길로 이끈 벵골호랑이는 메타버스로 인해 바뀔 산업과 시장, 새로운 지구를 투자자의 시선으로 분석했다. 벵골호랑이는 메타버스는 상상하는 모든 것이 가능한 무한한 시장이라고 말하며 하드웨어, 소프트웨어, 인프라, 플랫폼, 콘텐츠 등 다섯 가지 메타버스 산업의 핵심 구조에 맞춰 시장을 해부하고 기업을 해체하며 투자자들에게 실질적으로 도움이 되는 정보를 『메타버스 새로운 기회』에 담았다.
투자자에게 새로운 산업이 태동하는 것은 언제나 설레는 일이라 말하는 벵골호랑이는 새로운 산업의 태동이 부의 지각변동을 일으킬 기회임과 동시에 잘 모르고 덤벼들면 가진 것을 잃을 위험이기도 하다며, 반드시 메타버스에 대해 알고 새로운 세계에 투자하라는 당부의 말을 함께 남겼다.

★★★ 압도적 인기! 베스트셀러 작가!
★★★ 메타버스 산업구조 대해부!
★★★ 경제와 사회를 관통하는 놀라운 지식"
77,"▶ 『메타버스 새로운 기회』 북트레일러

* 출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다.
*window7의 경우 사운드 연결이 없을시, 동영상 재생에 오류가 발생할 수 있습니다. 이어폰, 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다."
78,
79,"목차
프롤로그

Part 1. 오래된 미래, 메타버스가 온다
-2030 메타버스에 살다 #삶
-아바타가 살아가는 디지털 지구
-VR은 메타버스입니까?
-향신료(SPICE)와 메타버스

Part 2. 새로운 문명, 메타버스
-스마트폰이 혁명이라면, 메타버스는 새로운 문명이다
-디지털 휴먼과의 공존
-메타버스, 전체 연령 관람가
-가상세계에서의 제조업 혁신
-흩어지는 인구
-무너지는 진입장벽

Part 3. 사람이 없는 세계는 없다
: 사용자 기반 메타버스
-메타버스 산업의 다섯 가지 핵심 구조
-메타버스에는 몇 명이나 살고 있을까?
-사람들은 왜 메타버스에 열광할까?
-말하고 배우기를 재정립하다

Part 4. 표준이 되기 위한 무한 경쟁
: 메타버스, 경험의 접점
-사실상의 표준, 디팩토 스탠더드(De facto Standard)
-디지털 세상과 나를 연결하는: 하드웨어 패러다임 시프트
-선발주자 페이스북
-구글과는 다른 출발, 마이크로소프트와 AR

Part 5. 디지털 세상의 역세권
: 메타버스 플랫폼
-총성 없는 플랫폼 전쟁
-자동차 산업을 새롭게 디자인하다
-설계의 패러다임을 다시 쓰다

Part 6. 새로운 지구의 뼈대를 이루는
: 메타버스 인프라
-인프라: 위성 전쟁의 서막
-상상하는 모든 것을 그리는 물감: 메타버스 3D 엔진
-현실과 가상을 연결하는: 데이터센터 & 리츠 산업
-반도체 산업 슈퍼 사이클, 메타버스와 함께 간다

Part 7. 상상하는 모든 것
: 메타버스 콘텐츠 산업
-팬덤을 사로잡는 마력
-메타버스의 고전, 게임 산업
-2억 명이 넘는 사람들이 사는 세상

에필로그"
80,"VR이 주는 실재감은 시공간을 넘어서 새로운 세상의 실재감을 줍니다. 여기에는 기존의 영화나 그림 등 시각적 콘텐츠를 뛰어넘는 두 가지 이점이 있습니다. 우선 첫 번째는 판타지입니다. 현실에 존재하지 않는 세계, 먼 거리의 세계, 과거와 미래가 공존하는 세상, 여러분이 꿈꾸는 모든 세상이 가상세계에서는 현실이 될 수 있습니다. 물론 영화에도 SF 장르나 판타지 장르가 존재하기는 합니다만 우리가 직접 체험할 수 있는 부분은 극히 적습니다. 대리만족을 느낄 뿐이죠. _ 57p

인류의 문명은 향신료(SPICE)의 전파와 맥을 같이 ... 더보기"
81,"상상이 현실되는 '또 다른 세계' 메타버스에 올라타라
“지난 20년이 놀라웠나요? 앞으로의 20년은 SF나 다를 바 없을 겁니다.
메타버스(Metaverse)의 시대가 오고 있습니다.”

본격적으로 사람들이 메타버스라는 세계에 관심을 보이기 시작한 것은 스티븐 스필버그(Steven Spielberg) 감독의 영화 〈레디 플레이어 원(2018)〉이 `흥행에 성공한 후부터다. 동명의 SF 소설을 원작으로 한 영화에선 ‘오아시스’라는 매력적인 가상세계가 나오고 그 세계에서는 자신만의 아바타를 꾸미거나 혹은 유명한 사람이나 캐릭... 더보기"
82,"마히토를 수중에 넣고,
자신이 세운 계획의 일부를 설명하기 시작한 게토.
시부야 사변의 최종 국면에 주술사들이 모여드는 가운데,
쵸소우는 게토의 주검에 기생하는 ‘흑막’의 정체를 깨닫는데?!
사변의 종언이 가져온 파멸과 혼돈, 세상은 급변한다-…!!"
83,"제134화 시부야 사변 51
제135화 시부야 사변 52
제136화 시부야 사변 53
제137화 견백
제138화 젠인가
제139화 사냥꾼
제140화 집행
제141화 뒤에 서 있는 것은
제142화 형의 등"
84,"[줄거리]
붉은 단풍의 나라, 캐나다로 떠난 카카오프렌즈!
북아메리카 영토의 절반 이상을 차지하고 있는 캐나다는 원주민들이 살던 곳에 유럽인들이 건너와 세운 나라야. 캐나다를 상징하는 단풍나무도 원래는 프랑스계 캐나다인을 상징했대. 오늘날에는 다양한 언어와 문화를 가진 사람들이 서로 조화를 이루며 살아가고 있지. 지금도 여전히 전 세계인의 발길을 끄는 캐나다의 매력은 무엇일까? 겨울 스포츠 강국이자 빨간 머리 앤의 고향이기도 한 이곳의 매력을 찾아 카카오프렌즈와 함께 캐나다로 떠나 보자!"
85,
86,"1장 캐나다를 발견하다!
캐나다 이야기
2장 캐나다 원주민과 비버 전쟁
캐나다를 상징하는 동물
3장 붉은 단풍의 나라
독립 국가가 되기까지
4장 북극에서 살아가는 사람들
캐나다의 북극
5장 독립을 향한 첫걸음
로키산맥과 아이스하키
6장 이번 역은 밴쿠버역입니다
캐나다를 가로지르는 열차
7장 빨간 머리 앤의 집에 가다
시대를 앞서간 여성 작가들
8장 나이아가라 폭포 속으로 GO GO!
세계에서 가장 유명한 폭포
부록 _ 컬러링/연표"
87,"출간 즉시 베스트셀러 등극! 스테디셀러로 자리매김한 〈Go Go 카카오프렌즈〉,
신간 캐나다 편이 나왔어요!
카카오프렌즈와 세계 역사를 배우고, 스페셜 여권에 캐릭터 스티커도 모아 보세요!

★ 역사를 어려워하는 우리 아이도 부담 없이 읽고 세계의 역사와 문화를 알아가고 있어요!
★ 아이가 늘 기다리는 책이에요. 전 세계 모든 나라가 출간되면 좋겠어요!
★ 우리 아이가 〈고고 카카오프렌즈〉 시리즈와 함께 세계사 박사가 되어 가고 있어요!
★ 여권 부록에 스티커를 붙이며 세계 여행하는 재미가 쏠쏠해요!
★ 세계의 다양한 문화와 역사가... 더보기"
88,"10년 동안 성공한 인물 1,000명과 인터뷰를 해온 김작가. 그는 사람들을 만날 때마다 성공 비결을 물었는데, 신기하게도 그때마다 한 가지 공통된 대답이 돌아왔다. “운이 좋았어요.” 처음에는 그저 인사치레나 겸손의 말 정도로 생각했지만 인생에 대해 조금씩 더 알아갈수록 그 말의 이면에 성공에 관한 모든 비밀이 숨어 있음을 알게 되었다. 결국 모든 것이 남보다 늦었던 그였지만, 그 비밀에 조금씩 눈뜨기 시작하면서 자신이 하고자 하는 일에 엄청난 가속도가 붙기 시작했다. 그가 찾은 운을 만드는 일곱 가지 열쇠는 사람, 관찰, 속도, 루틴, 복기, 긍정, 시도다. 이 일곱 가지 열쇠가 당신이 인생에서 만나는 수많은 난관의 문을 활짝 열어줄 것이다."
89,
90,"프롤로그_운이 좋았다고 말하는 사람들

1장_사람: 모든 기회는 사람에게서 온다
당신 옆에 누가 있는가?
셰르파 없이는 정상에 오를 수 없다
내가 준비되어 있지 않으면 누구도 만날 수 없다
실패가 익숙한 사람을 멀리하라
내게 다른 세상의 가능성을 보여준 사람들
시기별로 필요한 사람이 따로 있다
책 속에 사람이 있다

2장_관찰: 파도의 움직임을 읽을 수 있는가?
당신이 보고 듣는 것에 당신의 미래가 있다
데이터는 이미 세상의 변화를 알고 있다
순간의 선택들이 모여 나의 운이 된다
운이 들어오는 경로는 4가지뿐
시대가 주는 운을 내 것으로 만들 수 있는가?

3장_속도: 운의 마찰력을 줄이는 기술
인생에 있어 속도와 방향의 상관관계
속도를 높이는 구조화의 힘
당신에게 필요한 건 창인가, 방패인가?
세상을 내 편으로 만드는 설득의 힘
프레임에서 벗어나야 진짜 답이 보인다
우리가 운칠기삼을 말할 때 놓치고 있는 것

4장_루틴: 일상에서 돌아가는 운명의 수레바퀴
기회의 양만 늘려서는 제자리만 맴돌 뿐이다
실 하나 잡고 버티자, 버티기만 해보자
자꾸 실패를 반복하면 인풋을 바꿔야 한다
경쟁에서 이기는 나만의 방법이 있는가?
운이 좋지 않다고 실망할 필요 없다
갑자기 뜬 것 같은 사람의 물밑에 있는 것들

5장_복기: 나를 충분히 돌아보고 있는가?
인생을 두 번 사는 방법이 있다면?
다른 사람의 말은 거울에 반사된 나의 모습이다
나는 운을 부르는 말을 하고 있는 사람인가?
운을 공부하며 알게 된 세 가지 역설
불운 속에 행운이 숨어 있다

6장_긍정: 최악의 상황에도 잃지 말아야 할 것
자격지심과 피해의식을 버려야 얻을 수 있는 것
최악의 불운마저도 극복하게 하는 힘
익숙한 것과 작별하고 유연하게 사고하라
인생사 새옹지마와 진인사대천명

7장_시도: 운을 만드는 최소한의 원칙
그저 시작했을 뿐이었다
도착점만큼 중요한 시작점
복권을 긁지도 않았는데 당첨이 될 순 없다
두려움 없이 도전하는 사람들의 비밀

에필로그_내 파도를 기다리는 숙련된 서퍼처럼
감사의 말_내게 귀한 시간을 내주신 모든 분께"
91,"“어떻게 성공할 수 있었나요?” 비슷한 질문에, 모두 약속이라도 한 듯이 똑같은 대답을 했다.
“운이 좋았어요.”
뻔하디 뻔한 이 대답이 처음에는 식상했던 것이 사실이다. 성공한 사람들이 책이나 강연에서 하나같이 하는 말에 불과했기 때문이다. 인사치레처럼 해야 하는 말, 조금 더 좋게 표현하면 그저 겸손의 말, 그 이상도 이하도 아니라고 생각했다. 하지만 인터뷰를 하면 할수록 그 말의 무게감이 조금씩 다르게 느껴졌다. ‘왜 그들만’ 운이 좋았을까? 그들은 ‘언제, 어디서’ 운을 만난 것일까? 그들은 ‘무엇을 했기에’ 운을 만났을까... 더보기"
92,"모든 것이 남보다 늦었던 김작가가
불운을 이겨내며 발견한 성공 가속도의 법칙
저자는 사실 자신이 운에 관한 책을 쓰는 것이 조금 민망할 정도로 운이 없는 사람이었다고 고백한다. 삶의 모든 영역에서 남보다 늦었고, 우울하고 불행한 시기를 보낸 적도 있었다. 하지만 그는 성장과 더 나은 삶에 대한 욕심만큼은 끝내 버리지 않았고 자신만의 방법을 찾은 끝에 성공한 사람을 인터뷰하기로 마음먹었다. 성공한 사람을 만나 그들의 이야기를 들으면 자신이 찾던 답을 찾을 수 있으리라 믿었기 때문이다. 그렇게 10년 동안 1,000명의 사람과 나눈 대... 더보기"
